device_id,os
D000400,iOS
D000401,Android
D000402,Android
D000403,iOS
D000404,Android
D000405,Android
D000406,Android
D000407,Android
D000408,Android
D000409,Android
D000410,iOS
D000411,Android
D000412,iOS
D000413,Android
D000414,Android
D000415,Android
D000416,Android
D000417,Android
D000418,iOS
D000419,Android
D000420,Android
D000421,Android
D000422,Android
D000423,Android
D000424,Android
D000425,Android
D000426,Android
D000427,Android
D000428,Android
D000429,Android
D000430,Android
D000431,Android
D000432,Android
D000433,iOS
D000434,iOS
D000435,Android
D000436,iOS
D000437,Android
D000438,iOS
D000439,Android
D000440,Android
D000441,Android
D000442,Android
D000443,Android
D000444,Android
D000445,Android
D000446,Android
D000447,Android
D000448,Android
D000449,Android
D000450,Android
D000451,Android
D000452,Android
D000453,Android
D000454,Android
D000455,Android
D000456,Android
D000457,iOS
D000458,Android
D000459,Android
D000460,Android
D000461,Android
D000462,Android
D000463,Android
D000464,Android
D000465,Android
D000466,Android
D000467,Android
D000468,Android
D000469,Android
D000470,Android
D000471,Android
D000472,Android
D000473,Android
D000474,Android
D000475,Android
D000476,Android
D000477,Android
D000478,Android
D000479,Android
D000480,Android
D000481,Android
D000482,Android
D000483,Android
D000484,Android
D000485,iOS
D000486,Android
D000487,Android
D000488,Android
D000489,Android
D000490,Android
D000491,Android
D000492,Android
D000493,Android
D000494,Android
D000495,Android
D000496,iOS
D000497,Android
D000498,Android
D000499,iOS
D000500,Android
D000501,Android
D000502,iOS
D000503,Android
D000504,iOS
D000505,Android
D000506,Android
D000507,Android
D000508,iOS
D000509,iOS
D000510,Android
D000511,iOS
D000512,Android
D000513,Android
D000514,Android
D000515,Android
D000516,Android
D000517,Android
D000518,iOS
D000519,iOS
D000520,Android
D000521,Android
D000522,Android
D000523,Android
D000524,Android
D000525,iOS
D000526,Android
D000527,Android
D000528,Android
D000529,Android
D000530,Android
D000531,Android
D000532,Android
D000533,Android
D000534,Android
D000535,iOS
D000536,Android
D000537,Android
D000538,Android
D000539,Android
D000540,iOS
D000541,iOS
D000542,Android
D000543,Android
D000544,Android
D000545,Android
D000546,Android
D000547,Android
D000548,Android
D000549,Android
D000550,Android
D000551,Android
D000552,Android
D000553,Android
D000554,Android
D000555,Android
D000556,iOS
D000557,Android
D000558,Android
D000559,Android
D000560,iOS
D000561,Android
D000562,iOS
D000563,Android
D000564,Android
D000565,Android
D000566,Android
D000567,Android
D000568,iOS
D000569,Android
D000570,Android
D000571,Android
D000572,Android
D000573,Android
D000574,iOS
D000575,Android
D000576,Android
D000577,Android
D000578,iOS
D000579,iOS
D000580,iOS
D000581,Android
D000582,Android
D000583,Android
D000584,Android
D000585,Android
D000586,Android
D000587,Android
D000588,Android
D000589,Android
D000590,Android
D000591,Android
D000592,Android
D000593,Android
D000594,Android
D000595,Android
D000596,Android
D000597,Android
D000598,Android
D000599,Android
D000600,Android
D000601,Android
D000602,Android
D000603,Android
D000604,Android
D000605,Android
D000606,Android
D000607,Android
D000608,Android
D000609,Android
D000610,Android
D000611,Android
D000612,Android
D000613,Android
D000614,Android
D000615,iOS
D000616,Android
D000617,Android
D000618,Android
D000619,iOS
D000620,Android
D000621,Android
D000622,Android
D000623,Android
D000624,Android
D000625,iOS
D000626,iOS
D000627,Android
D000628,Android
D000629,Android
D000630,Android
D000631,Android
D000632,Android
D000633,iOS
D000634,Android
D000635,iOS
D000636,Android
D000637,iOS
D000638,Android
D000639,Android
D000640,Android
D000641,iOS
D000642,iOS
D000643,Android
D000644,Android
D000645,Android
D000646,Android
D000647,iOS
D000648,Android
D000649,iOS
D000650,Android
D000651,Android
D000652,iOS
D000653,Android
D000654,Android
D000655,Android
D000656,Android
D000657,Android
D000658,Android
D000659,Android
D000660,iOS
D000661,Android
D000662,Android
D000663,Android
D000664,Android
D000665,Android
D000666,Android
D000667,Android
D000668,Android
D000669,Android
D000670,Android
D000671,Android
D000672,iOS
D000673,Android
D000674,Android
D000675,iOS
D000676,Android
D000677,Android
D000678,Android
D000679,Android
D000680,Android
D000681,Android
D000682,Android
D000683,iOS
D000684,Android
D000685,iOS
D000686,Android
D000687,Android
D000688,iOS
D000689,iOS
D000690,Android
D000691,iOS
D000692,Android
D000693,Android
D000694,Android
D000695,Android
D000696,Android
D000697,Android
D000698,Android
D000699,iOS
D000700,Android
D000701,iOS
D000702,Android
D000703,Android
D000704,Android
D000705,Android
D000706,Android
D000707,iOS
D000708,Android
D000709,Android
D000710,Android
D000711,Android
D000712,Android
D000713,Android
D000714,iOS
D000715,Android
D000716,Android
D000717,Android
D000718,Android
D000719,iOS
D000720,Android
D000721,Android
D000722,iOS
D000723,Android
D000724,iOS
D000725,iOS
D000726,Android
D000727,Android
D000728,Android
D000729,Android
D000730,Android
D000731,iOS
D000732,Android
D000733,Android
D000734,iOS
D000735,iOS
D000736,Android
D000737,iOS
D000738,iOS
D000739,Android
D000740,Android
D000741,Android
D000742,Android
D000743,Android
D000744,Android
D000745,Android
D000746,iOS
D000747,Android
D000748,Android
D000749,Android
D000750,iOS
D000751,Android
D000752,Android
D000753,iOS
D000754,Android
D000755,iOS
D000756,Android
D000757,Android
D000758,Android
D000759,Android
D000760,Android
D000761,Android
D000762,Android
D000763,iOS
D000764,iOS
D000765,iOS
D000766,Android
D000767,Android
D000768,Android
D000769,iOS
D000770,Android
D000771,Android
D000772,Android
D000773,iOS
D000774,Android
D000775,iOS
D000776,Android
D000777,iOS
D000778,Android
D000779,Android
D000780,Android
D000781,iOS
D000782,Android
D000783,Android
D000784,iOS
D000785,Android
D000786,Android
D000787,Android
D000788,iOS
D000789,Android
D000790,iOS
D000791,Android
D000792,Android
D000793,Android
D000794,Android
D000795,iOS
D000796,iOS
D000797,Android
D000798,iOS
D000799,iOS
D000800,Android
D000801,Android
D000802,Android
D000803,iOS
D000804,iOS
D000805,Android
D000806,Android
D000807,Android
D000808,Android
D000809,Android
D000810,Android
D000811,Android
D000812,Android
D000813,Android
D000814,Android
D000815,Android
D000816,iOS
D000817,Android
D000818,Android
D000819,iOS
D000820,Android
D000821,Android
D000822,Android
D000823,Android
D000824,Android
D000825,iOS
D000826,iOS
D000827,Android
D000828,Android
D000829,iOS
D000830,Android
D000831,Android
D000832,Android
D000833,Android
D000834,Android
D000835,Android
D000836,Android
D000837,iOS
D000838,Android
D000839,Android
D000840,Android
D000841,iOS
D000842,Android
D000843,Android
D000844,iOS
D000845,Android
D000846,iOS
D000847,Android
D000848,Android
D000849,Android
D000850,Android
D000851,iOS
D000852,Android
D000853,Android
D000854,iOS
D000855,Android
D000856,Android
D000857,Android
D000858,Android
D000859,iOS
D000860,Android
D000861,Android
D000862,Android
D000863,Android
D000864,Android
D000865,Android
D000866,Android
D000867,Android
D000868,Android
D000869,Android
D000870,Android
D000871,Android
D000872,Android
D000873,Android
D000874,Android
D000875,Android
D000876,iOS
D000877,Android
D000878,Android
D000879,Android
D000880,Android
D000881,Android
D000882,iOS
D000883,Android
D000884,iOS
D000885,iOS
D000886,Android
D000887,Android
D000888,Android
D000889,Android
D000890,Android
D000891,Android
D000892,Android
D000893,Android
D000894,Android
D000895,Android
D000896,Android
D000897,iOS
D000898,iOS
D000899,Android
D000900,Android
D000901,Android
D000902,iOS
D000903,Android
D000904,Android
D000905,Android
D000906,Android
D000907,Android
D000908,Android
D000909,iOS
D000910,Android
D000911,Android
D000912,Android
D000913,Android
D000914,Android
D000915,Android
D000916,Android
D000917,Android
D000918,Android
D000919,Android
D000920,Android
D000921,iOS
D000922,Android
D000923,Android
D000924,Android
D000925,iOS
D000926,Android
D000927,Android
D000928,Android
D000929,Android
D000930,iOS
D000931,Android
D000932,Android
D000933,Android
D000934,Android
D000935,Android
D000936,Android
D000937,iOS
D000938,Android
D000939,Android
D000940,iOS
D000941,iOS
D000942,iOS
D000943,Android
D000944,Android
D000945,Android
D000946,Android
D000947,Android
D000948,iOS
D000949,iOS
D000950,Android
D000951,Android
D000952,iOS
D000953,Android
D000954,Android
D000955,Android
D000956,iOS
D000957,Android
D000958,Android
D000959,Android
D000960,iOS
D000961,Android
D000962,Android
D000963,Android
D000964,Android
D000965,Android
D000966,Android
D000967,iOS
D000968,Android
D000969,Android
D000970,Android
D000971,Android
D000972,Android
D000973,Android
D000974,iOS
D000975,Android
D000976,Android
D000977,Android
D000978,iOS
D000979,iOS
D000980,Android
D000981,Android
D000982,iOS
D000983,Android
D000984,Android
D000985,iOS
D000986,Android
D000987,Android
D000988,Android
D000989,Android
D000990,Android
D000991,iOS
D000992,Android
D000993,Android
D000994,Android
D000995,iOS
D000996,Android
D000997,iOS
D000998,iOS
D000999,Android
D001000,iOS
D001001,iOS
D001002,Android
D001003,Android
D001004,Android
D001005,Android
D001006,iOS
D001007,Android
D001008,iOS
D001009,Android
D001010,iOS
D001011,iOS
D001012,Android
D001013,Android
D001014,Android
D001015,Android
D001016,Android
D001017,Android
D001018,iOS
D001019,Android
D001020,Android
D001021,Android
D001022,Android
D001023,Android
D001024,iOS
D001025,Android
D001026,Android
D001027,Android
D001028,Android
D001029,iOS
D001030,Android
D001031,iOS
D001032,Android
D001033,Android
D001034,Android
D001035,Android
D001036,Android
D001037,Android
D001038,iOS
D001039,Android
D001040,Android
D001041,Android
D001042,iOS
D001043,Android
D001044,Android
D001045,Android
D001046,Android
D001047,Android
D001048,Android
D001049,Android
D001050,Android
D001051,iOS
D001052,Android
D001053,iOS
D001054,Android
D001055,Android
D001056,iOS
D001057,Android
D001058,iOS
D001059,iOS
D001060,iOS
D001061,Android
D001062,Android
D001063,Android
D001064,Android
D001065,Android
D001066,Android
D001067,Android
D001068,Android
D001069,Android
D001070,Android
D001071,Android
D001072,iOS
D001073,Android
D001074,Android
D001075,Android
D001076,Android
D001077,Android
D001078,Android
D001079,Android
D001080,Android
D001081,Android
D001082,Android
D001083,Android
D001084,Android
D001085,Android
D001086,Android
D001087,iOS
D001088,iOS
D001089,iOS
D001090,Android
D001091,Android
D001092,iOS
D001093,iOS
D001094,Android
D001095,Android
D001096,Android
D001097,Android
D001098,iOS
D001099,Android
D001100,iOS
D001101,iOS
D001102,Android
D001103,Android
D001104,Android
D001105,iOS
D001106,Android
D001107,Android
D001108,Android
D001109,Android
D001110,iOS
D001111,Android
D001112,iOS
D001113,Android
D001114,Android
D001115,Android
D001116,Android
D001117,Android
D001118,Android
D001119,iOS
D001120,Android
D001121,iOS
D001122,Android
D001123,Android
D001124,Android
D001125,Android
D001126,Android
D001127,Android
D001128,Android
D001129,Android
D001130,iOS
D001131,Android
D001132,Android
D001133,Android
D001134,Android
D001135,iOS
D001136,Android
D001137,Android
D001138,Android
D001139,Android
D001140,Android
D001141,Android
D001142,Android
D001143,iOS
D001144,iOS
D001145,Android
D001146,Android
D001147,Android
D001148,Android
D001149,iOS
D001150,Android
D001151,Android
D001152,Android
D001153,iOS
D001154,iOS
D001155,Android
D001156,Android
D001157,Android
D001158,iOS
D001159,iOS
D001160,iOS
D001161,Android
D001162,iOS
D001163,Android
D001164,Android
D001165,iOS
D001166,iOS
D001167,Android
D001168,iOS
D001169,Android
D001170,Android
D001171,Android
D001172,iOS
D001173,Android
D001174,Android
D001175,Android
D001176,iOS
D001177,Android
D001178,Android
D001179,iOS
D001180,Android
D001181,iOS
D001182,Android
D001183,Android
D001184,Android
D001185,Android
D001186,Android
D001187,Android
D001188,iOS
D001189,iOS
D001190,Android
D001191,Android
D001192,Android
D001193,Android
D001194,iOS
D001195,Android
D001196,iOS
D001197,Android
D001198,Android
D001199,Android
D001200,Android
D001201,Android
D001202,Android
D001203,iOS
D001204,Android
D001205,Android
D001206,Android
D001207,Android
D001208,iOS
D001209,iOS
D001210,iOS
D001211,Android
D001212,Android
D001213,Android
D001214,Android
D001215,Android
D001216,Android
D001217,iOS
D001218,Android
D001219,Android
D001220,Android
D001221,Android
D001222,Android
D001223,Android
D001224,iOS
D001225,Android
D001226,Android
D001227,iOS
D001228,Android
D001229,Android
D001230,Android
D001231,Android
D001232,Android
D001233,iOS
D001234,Android
D001235,iOS
D001236,Android
D001237,Android
D001238,Android
D001239,Android
D001240,iOS
D001241,iOS
D001242,Android
D001243,Android
D001244,Android
D001245,Android
D001246,Android
D001247,Android
D001248,Android
D001249,Android
D001250,iOS
D001251,Android
D001252,Android
D001253,iOS
D001254,Android
D001255,Android
D001256,Android
D001257,iOS
D001258,iOS
D001259,iOS
D001260,Android
D001261,Android
D001262,Android
D001263,Android
D001264,Android
D001265,Android
D001266,Android
D001267,Android
D001268,Android
D001269,Android
D001270,Android
D001271,Android
D001272,Android
D001273,Android
D001274,Android
D001275,Android
D001276,iOS
D001277,Android
D001278,Android
D001279,Android
D001280,iOS
D001281,Android
D001282,Android
D001283,Android
D001284,Android
D001285,Android
D001286,Android
D001287,Android
D001288,iOS
D001289,iOS
D001290,Android
D001291,Android
D001292,Android
D001293,Android
D001294,Android
D001295,iOS
D001296,Android
D001297,Android
D001298,iOS
D001299,Android
D001300,Android
D001301,Android
D001302,Android
D001303,Android
D001304,Android
D001305,Android
D001306,Android
D001307,iOS
D001308,Android
D001309,iOS
D001310,Android
D001311,Android
D001312,Android
D001313,Android
D001314,Android
D001315,Android
D001316,Android
D001317,Android
D001318,Android
D001319,iOS
D001320,Android
D001321,Android
D001322,Android
D001323,Android
D001324,Android
D001325,Android
D001326,Android
D001327,iOS
D001328,Android
D001329,iOS
D001330,Android
D001331,Android
D001332,iOS
D001333,Android
D001334,Android
D001335,iOS
D001336,Android
D001337,Android
D001338,Android
D001339,Android
D001340,iOS
D001341,iOS
D001342,Android
D001343,iOS
D001344,Android
D001345,Android
D001346,Android
D001347,Android
D001348,Android
D001349,Android
D001350,Android
D001351,Android
D001352,Android
D001353,Android
D001354,Android
D001355,iOS
D001356,iOS
D001357,iOS
D001358,Android
D001359,Android
D001360,iOS
D001361,Android
D001362,Android
D001363,Android
D001364,Android
D001365,Android
D001366,Android
D001367,Android
D001368,Android
D001369,Android
D001370,Android
D001371,Android
D001372,Android
D001373,Android
D001374,Android
D001375,Android
D001376,Android
D001377,iOS
D001378,Android
D001379,Android
D001380,Android
D001381,Android
D001382,iOS
D001383,Android
D001384,Android
D001385,Android
D001386,Android
D001387,Android
D001388,iOS
D001389,Android
D001390,Android
D001391,Android
D001392,Android
D001393,iOS
D001394,Android
D001395,iOS
D001396,iOS
D001397,Android
D001398,Android
D001399,iOS
D001400,Android
D001401,Android
D001402,Android
D001403,Android
D001404,Android
D001405,Android
D001406,Android
D001407,Android
D001408,Android
D001409,Android
D001410,Android
D001411,iOS
D001412,Android
D001413,Android
D001414,Android
D001415,Android
D001416,Android
D001417,iOS
D001418,Android
D001419,Android
D001420,Android
D001421,Android
D001422,Android
D001423,Android
D001424,iOS
D001425,Android
D001426,iOS
D001427,iOS
D001428,Android
D001429,Android
D001430,Android
D001431,Android
D001432,Android
D001433,iOS
D001434,iOS
D001435,Android
D001436,Android
D001437,iOS
D001438,Android
D001439,iOS
D001440,Android
D001441,Android
D001442,Android
D001443,Android
D001444,iOS
D001445,Android
D001446,iOS
D001447,Android
D001448,Android
D001449,Android
D001450,iOS
D001451,Android
D001452,Android
D001453,Android
D001454,iOS
D001455,iOS
D001456,Android
D001457,Android
D001458,iOS
D001459,Android
D001460,iOS
D001461,Android
D001462,Android
D001463,iOS
D001464,Android
D001465,iOS
D001466,Android
D001467,iOS
D001468,Android
D001469,Android
D001470,Android
D001471,Android
D001472,Android
D001473,iOS
D001474,iOS
