person_id,is_fraud,role,ring_id
P000321,0,normal,
P000322,0,normal,
P000323,0,normal,
P000324,0,normal,
P000325,0,normal,
P000326,0,normal,
P000327,0,normal,
P000328,0,normal,
P000329,0,normal,
P000330,0,normal,
P000331,0,normal,
P000332,0,normal,
P000333,0,normal,
P000334,0,normal,
P000335,0,normal,
P000336,0,normal,
P000337,0,normal,
P000338,0,normal,
P000339,0,normal,
P000340,0,normal,
P000341,0,normal,
P000342,0,normal,
P000343,0,normal,
P000344,0,normal,
P000345,0,normal,
P000346,0,normal,
P000347,0,normal,
P000348,0,normal,
P000349,0,normal,
P000350,0,normal,
P000351,0,normal,
P000352,0,normal,
P000353,0,normal,
P000354,0,normal,
P000355,0,normal,
P000356,0,normal,
P000357,0,normal,
P000358,0,normal,
P000359,0,normal,
P000360,0,normal,
P000361,0,normal,
P000362,0,normal,
P000363,0,normal,
P000364,0,normal,
P000365,0,normal,
P000366,0,normal,
P000367,0,normal,
P000368,0,normal,
P000369,0,normal,
P000370,0,normal,
P000371,0,normal,
P000372,0,normal,
P000373,0,normal,
P000374,0,normal,
P000375,0,normal,
P000376,0,normal,
P000377,0,normal,
P000378,0,normal,
P000379,0,normal,
P000380,0,normal,
P000381,0,normal,
P000382,0,normal,
P000383,0,normal,
P000384,0,normal,
P000385,0,normal,
P000386,0,normal,
P000387,0,normal,
P000388,0,normal,
P000389,0,normal,
P000390,0,normal,
P000391,0,normal,
P000392,0,normal,
P000393,0,normal,
P000394,0,normal,
P000395,0,normal,
P000396,0,normal,
P000397,0,normal,
P000398,0,normal,
P000399,0,normal,
P000400,0,normal,
P000401,0,normal,
P000402,0,normal,
P000403,0,normal,
P000404,0,normal,
P000405,0,normal,
P000406,0,normal,
P000407,0,normal,
P000408,0,normal,
P000409,0,normal,
P000410,0,normal,
P000411,0,normal,
P000412,0,normal,
P000413,0,normal,
P000414,0,normal,
P000415,0,normal,
P000416,0,normal,
P000417,0,normal,
P000418,0,normal,
P000419,0,normal,
P000420,0,normal,
P000421,0,normal,
P000422,0,normal,
P000423,0,normal,
P000424,0,normal,
P000425,0,normal,
P000426,0,normal,
P000427,0,normal,
P000428,0,normal,
P000429,0,normal,
P000430,0,normal,
P000431,0,normal,
P000432,0,normal,
P000433,0,normal,
P000434,0,normal,
P000435,0,normal,
P000436,0,normal,
P000437,0,normal,
P000438,0,normal,
P000439,0,normal,
P000440,0,normal,
P000441,0,normal,
P000442,0,normal,
P000443,0,normal,
P000444,0,normal,
P000445,0,normal,
P000446,0,normal,
P000447,0,normal,
P000448,0,normal,
P000449,0,normal,
P000450,0,normal,
P000451,0,normal,
P000452,0,normal,
P000453,0,normal,
P000454,0,normal,
P000455,0,normal,
P000456,0,normal,
P000457,0,normal,
P000458,0,normal,
P000459,0,normal,
P000460,0,normal,
P000461,0,normal,
P000462,0,normal,
P000463,0,normal,
P000464,0,normal,
P000465,0,normal,
P000466,0,normal,
P000467,0,normal,
P000468,0,normal,
P000469,0,normal,
P000470,0,normal,
P000471,0,normal,
P000472,0,normal,
P000473,0,normal,
P000474,0,normal,
P000475,0,normal,
P000476,0,normal,
P000477,0,normal,
P000478,0,normal,
P000479,0,normal,
P000480,0,normal,
P000481,0,normal,
P000482,0,normal,
P000483,0,normal,
P000484,0,normal,
P000485,0,normal,
P000486,0,normal,
P000487,0,normal,
P000488,0,normal,
P000489,0,normal,
P000490,0,normal,
P000491,0,normal,
P000492,0,normal,
P000493,0,normal,
P000494,0,normal,
P000495,0,normal,
P000496,0,normal,
P000497,0,normal,
P000498,0,normal,
P000499,0,normal,
P000500,0,normal,
P000501,0,normal,
P000502,0,normal,
P000503,0,normal,
P000504,0,normal,
P000505,0,normal,
P000506,0,normal,
P000507,0,normal,
P000508,0,normal,
P000509,0,normal,
P000510,0,normal,
P000511,0,normal,
P000512,0,normal,
P000513,0,normal,
P000514,0,normal,
P000515,0,normal,
P000516,0,normal,
P000517,0,normal,
P000518,0,normal,
P000519,0,normal,
P000520,0,normal,
P000521,0,normal,
P000522,0,normal,
P000523,0,normal,
P000524,0,normal,
P000525,0,normal,
P000526,0,normal,
P000527,0,normal,
P000528,0,normal,
P000529,0,normal,
P000530,0,normal,
P000531,0,normal,
P000532,0,normal,
P000533,0,normal,
P000534,0,normal,
P000535,0,normal,
P000536,0,normal,
P000537,0,normal,
P000538,0,normal,
P000539,0,normal,
P000540,0,normal,
P000541,0,normal,
P000542,0,normal,
P000543,0,normal,
P000544,0,normal,
P000545,0,normal,
P000546,0,normal,
P000547,0,normal,
P000548,0,normal,
P000549,0,normal,
P000550,0,normal,
P000551,0,normal,
P000552,0,normal,
P000553,0,normal,
P000554,0,normal,
P000555,0,normal,
P000556,0,normal,
P000557,0,normal,
P000558,0,normal,
P000559,0,normal,
P000560,0,normal,
P000561,0,normal,
P000562,0,normal,
P000563,0,normal,
P000564,0,normal,
P000565,0,normal,
P000566,0,normal,
P000567,0,normal,
P000568,0,normal,
P000569,0,normal,
P000570,0,normal,
P000571,0,normal,
P000572,0,normal,
P000573,0,normal,
P000574,0,normal,
P000575,0,normal,
P000576,0,normal,
P000577,0,normal,
P000578,0,normal,
P000579,0,normal,
P000580,0,normal,
P000581,0,normal,
P000582,0,normal,
P000583,0,normal,
P000584,0,normal,
P000585,0,normal,
P000586,0,normal,
P000587,0,normal,
P000588,0,normal,
P000589,0,normal,
P000590,0,normal,
P000591,0,normal,
P000592,0,normal,
P000593,0,normal,
P000594,0,normal,
P000595,0,normal,
P000596,0,normal,
P000597,0,normal,
P000598,0,normal,
P000599,0,normal,
P000600,0,normal,
P000601,0,normal,
P000602,0,normal,
P000603,0,normal,
P000604,0,normal,
P000605,0,normal,
P000606,0,normal,
P000607,0,normal,
P000608,0,normal,
P000609,0,normal,
P000610,0,normal,
P000611,0,normal,
P000612,0,normal,
P000613,0,normal,
P000614,0,normal,
P000615,0,normal,
P000616,0,normal,
P000617,0,normal,
P000618,0,normal,
P000619,0,normal,
P000620,0,normal,
P000621,0,normal,
P000622,0,normal,
P000623,0,normal,
P000624,0,normal,
P000625,0,normal,
P000626,0,normal,
P000627,0,normal,
P000628,0,normal,
P000629,0,normal,
P000630,0,normal,
P000631,0,normal,
P000632,0,normal,
P000633,0,normal,
P000634,0,normal,
P000635,0,normal,
P000636,0,normal,
P000637,0,normal,
P000638,0,normal,
P000639,0,normal,
P000640,0,normal,
P000641,0,normal,
P000642,0,normal,
P000643,0,normal,
P000644,0,normal,
P000645,0,normal,
P000646,0,normal,
P000647,0,normal,
P000648,0,normal,
P000649,0,normal,
P000650,0,normal,
P000651,0,normal,
P000652,0,normal,
P000653,0,normal,
P000654,0,normal,
P000655,0,normal,
P000656,0,normal,
P000657,0,normal,
P000658,0,normal,
P000659,0,normal,
P000660,0,normal,
P000661,0,normal,
P000662,0,normal,
P000663,0,normal,
P000664,0,normal,
P000665,0,normal,
P000666,0,normal,
P000667,0,normal,
P000668,0,normal,
P000669,0,normal,
P000670,0,normal,
P000671,0,normal,
P000672,0,normal,
P000673,0,normal,
P000674,0,normal,
P000675,0,normal,
P000676,0,normal,
P000677,0,normal,
P000678,0,normal,
P000679,0,normal,
P000680,0,normal,
P000681,0,normal,
P000682,0,normal,
P000683,0,normal,
P000684,0,normal,
P000685,0,normal,
P000686,0,normal,
P000687,0,normal,
P000688,0,normal,
P000689,0,normal,
P000690,0,normal,
P000691,0,normal,
P000692,0,normal,
P000693,0,normal,
P000694,0,normal,
P000695,0,normal,
P000696,0,normal,
P000697,0,normal,
P000698,0,normal,
P000699,0,normal,
P000700,0,normal,
P000701,0,normal,
P000702,0,normal,
P000703,0,normal,
P000704,0,normal,
P000705,0,normal,
P000706,0,normal,
P000707,0,normal,
P000708,0,normal,
P000709,0,normal,
P000710,0,normal,
P000711,0,normal,
P000712,0,normal,
P000713,0,normal,
P000714,0,normal,
P000715,0,normal,
P000716,0,normal,
P000717,0,normal,
P000718,0,normal,
P000719,0,normal,
P000720,0,normal,
P000721,0,normal,
P000722,0,normal,
P000723,0,normal,
P000724,0,normal,
P000725,0,normal,
P000726,0,normal,
P000727,0,normal,
P000728,0,normal,
P000729,0,normal,
P000730,0,normal,
P000731,0,normal,
P000732,0,normal,
P000733,0,normal,
P000734,0,normal,
P000735,0,normal,
P000736,0,normal,
P000737,0,normal,
P000738,0,normal,
P000739,0,normal,
P000740,0,normal,
P000741,0,normal,
P000742,0,normal,
P000743,0,normal,
P000744,0,normal,
P000745,0,normal,
P000746,0,normal,
P000747,0,normal,
P000748,0,normal,
P000749,0,normal,
P000750,0,normal,
P000751,0,normal,
P000752,0,normal,
P000753,0,normal,
P000754,0,normal,
P000755,0,normal,
P000756,0,normal,
P000757,0,normal,
P000758,0,normal,
P000759,0,normal,
P000760,0,normal,
P000761,0,normal,
P000762,0,normal,
P000763,0,normal,
P000764,0,normal,
P000765,0,normal,
P000766,0,normal,
P000767,0,normal,
P000768,0,normal,
P000769,0,normal,
P000770,0,normal,
P000771,0,normal,
P000772,0,normal,
P000773,0,normal,
P000774,0,normal,
P000775,0,normal,
P000776,0,normal,
P000777,0,normal,
P000778,0,normal,
P000779,0,normal,
P000780,0,normal,
P000781,0,normal,
P000782,0,normal,
P000783,0,normal,
P000784,0,normal,
P000785,0,normal,
P000786,0,normal,
P000787,0,normal,
P000788,0,normal,
P000789,0,normal,
P000790,0,normal,
P000791,0,normal,
P000792,0,normal,
P000793,0,normal,
P000794,0,normal,
P000795,0,normal,
P000796,0,normal,
P000797,0,normal,
P000798,0,normal,
P000799,0,normal,
P000800,0,normal,
P000801,0,normal,
P000802,0,normal,
P000803,0,normal,
P000804,0,normal,
P000805,0,normal,
P000806,0,normal,
P000807,0,normal,
P000808,0,normal,
P000809,0,normal,
P000810,0,normal,
P000811,0,normal,
P000812,0,normal,
P000813,0,normal,
P000814,0,normal,
P000815,0,normal,
P000816,0,normal,
P000817,0,normal,
P000818,0,normal,
P000819,0,normal,
P000820,0,normal,
P000821,0,normal,
P000822,0,normal,
P000823,0,normal,
P000824,0,normal,
P000825,0,normal,
P000826,0,normal,
P000827,0,normal,
P000828,0,normal,
P000829,0,normal,
P000830,0,normal,
P000831,0,normal,
P000832,0,normal,
P000833,0,normal,
P000834,0,normal,
P000835,0,normal,
P000836,0,normal,
P000837,0,normal,
P000838,0,normal,
P000839,0,normal,
P000840,0,normal,
P000841,0,normal,
P000842,0,normal,
P000843,0,normal,
P000844,0,normal,
P000845,0,normal,
P000846,0,normal,
P000847,0,normal,
P000848,0,normal,
P000849,0,normal,
P000850,0,normal,
P000851,0,normal,
P000852,0,normal,
P000853,0,normal,
P000854,0,normal,
P000855,0,normal,
P000856,0,normal,
P000857,0,normal,
P000858,0,normal,
P000859,0,normal,
P000860,0,normal,
P000861,0,normal,
P000862,0,normal,
P000863,0,normal,
P000864,0,normal,
P000865,0,normal,
P000866,0,normal,
P000867,0,normal,
P000868,0,normal,
P000869,0,normal,
P000870,0,normal,
P000871,0,normal,
P000872,0,normal,
P000873,0,normal,
P000874,0,normal,
P000875,0,normal,
P000876,0,normal,
P000877,0,normal,
P000878,0,normal,
P000879,0,normal,
P000880,0,normal,
P000881,0,normal,
P000882,0,normal,
P000883,0,normal,
P000884,0,normal,
P000885,0,normal,
P000886,0,normal,
P000887,0,normal,
P000888,0,normal,
P000889,0,normal,
P000890,0,normal,
P000891,0,normal,
P000892,0,normal,
P000893,0,normal,
P000894,0,normal,
P000895,0,normal,
P000896,0,normal,
P000897,0,normal,
P000898,0,normal,
P000899,0,normal,
P000900,0,normal,
P000901,0,normal,
P000902,0,normal,
P000903,0,normal,
P000904,0,normal,
P000905,0,normal,
P000906,0,normal,
P000907,0,normal,
P000908,0,normal,
P000909,0,normal,
P000910,0,normal,
P000911,0,normal,
P000912,0,normal,
P000913,0,normal,
P000914,0,normal,
P000915,0,normal,
P000916,0,normal,
P000917,0,normal,
P000918,0,normal,
P000919,0,normal,
P000920,0,normal,
P000921,0,normal,
P000922,0,normal,
P000923,0,normal,
P000924,0,normal,
P000925,0,normal,
P000926,0,normal,
P000927,0,normal,
P000928,0,normal,
P000929,0,normal,
P000930,0,normal,
P000931,0,normal,
P000932,0,normal,
P000933,0,normal,
P000934,0,normal,
P000935,0,normal,
P000936,0,normal,
P000937,0,normal,
P000938,0,normal,
P000939,0,normal,
P000940,0,normal,
P000941,0,normal,
P000942,0,normal,
P000943,0,normal,
P000944,0,normal,
P000945,0,normal,
P000946,0,normal,
P000947,0,normal,
P000948,0,normal,
P000949,0,normal,
P000950,0,normal,
P000951,0,normal,
P000952,0,normal,
P000953,0,normal,
P000954,0,normal,
P000955,0,normal,
P000956,0,normal,
P000957,0,normal,
P000958,0,normal,
P000959,0,normal,
P000960,0,normal,
P000961,0,normal,
P000962,0,normal,
P000963,0,normal,
P000964,0,normal,
P000965,0,normal,
P000966,0,normal,
P000967,0,normal,
P000968,0,normal,
P000969,0,normal,
P000970,0,normal,
P000971,0,normal,
P000972,0,normal,
P000973,0,normal,
P000974,0,normal,
P000975,0,normal,
P000976,0,normal,
P000977,0,normal,
P000978,0,normal,
P000979,0,normal,
P000980,0,normal,
P000981,0,normal,
P000982,0,normal,
P000983,0,normal,
P000984,0,normal,
P000985,0,normal,
P000986,0,normal,
P000987,0,normal,
P000988,0,normal,
P000989,0,normal,
P000990,0,normal,
P000991,0,normal,
P000992,0,normal,
P000993,0,normal,
P000994,0,normal,
P000995,0,normal,
P000996,0,normal,
P000997,0,normal,
P000998,0,normal,
P000999,0,normal,
P001000,0,normal,
P001001,0,normal,
P001002,0,normal,
P001003,0,normal,
P001004,0,normal,
P001005,0,normal,
P001006,0,normal,
P001007,0,normal,
P001008,0,normal,
P001009,0,normal,
P001010,0,normal,
P001011,0,normal,
P001012,0,normal,
P001013,0,normal,
P001014,0,normal,
P001015,0,normal,
P001016,0,normal,
P001017,0,normal,
P001018,0,normal,
P001019,0,normal,
P001020,0,normal,
P001021,0,normal,
P001022,0,normal,
P001023,0,normal,
P001024,0,normal,
P001025,0,normal,
P001026,0,normal,
P001027,0,normal,
P001028,0,normal,
P001029,0,normal,
P001030,0,normal,
P001031,0,normal,
P001032,0,normal,
P001033,0,normal,
P001034,0,normal,
P001035,0,normal,
P001036,0,normal,
P001037,0,normal,
P001038,0,normal,
P001039,0,normal,
P001040,0,normal,
P001041,0,normal,
P001042,0,normal,
P001043,0,normal,
P001044,0,normal,
P001045,0,normal,
P001046,0,normal,
P001047,0,normal,
P001048,0,normal,
P001049,0,normal,
P001050,0,normal,
P001051,0,normal,
P001052,0,normal,
P001053,0,normal,
P001054,0,normal,
P001055,0,normal,
P001056,0,normal,
P001057,0,normal,
P001058,0,normal,
P001059,0,normal,
P001060,0,normal,
P001061,0,normal,
P001062,0,normal,
P001063,0,normal,
P001064,0,normal,
P001065,0,normal,
P001066,0,normal,
P001067,0,normal,
P001068,0,normal,
P001069,0,normal,
P001070,0,normal,
P001071,0,normal,
P001072,0,normal,
P001073,0,normal,
P001074,0,normal,
P001075,0,normal,
P001076,0,normal,
P001077,0,normal,
P001078,0,normal,
P001079,0,normal,
P001080,0,normal,
P001081,0,normal,
P001082,0,normal,
P001083,0,normal,
P001084,0,normal,
P001085,0,normal,
P001086,0,normal,
P001087,0,normal,
P001088,0,normal,
P001089,0,normal,
P001090,0,normal,
P001091,0,normal,
P001092,0,normal,
P001093,0,normal,
P001094,0,normal,
P001095,0,normal,
P001096,0,normal,
P001097,0,normal,
P001098,0,normal,
P001099,0,normal,
P001100,0,normal,
P001101,0,normal,
P001102,0,normal,
P001103,0,normal,
P001104,0,normal,
P001105,0,normal,
P001106,0,normal,
P001107,0,normal,
P001108,0,normal,
P001109,0,normal,
P001110,0,normal,
P001111,0,normal,
P001112,0,normal,
P001113,0,normal,
P001114,0,normal,
P001115,0,normal,
P001116,0,normal,
P001117,0,normal,
P001118,0,normal,
P001119,0,normal,
P001120,0,normal,
P001121,0,normal,
P001122,0,normal,
P001123,0,normal,
P001124,0,normal,
P001125,0,normal,
P001126,0,normal,
P001127,0,normal,
P001128,0,normal,
P001129,0,normal,
P001130,0,normal,
P001131,0,normal,
P001132,0,normal,
P001133,0,normal,
P001134,0,normal,
P001135,0,normal,
P001136,0,normal,
P001137,0,normal,
P001138,0,normal,
P001139,0,normal,
P001140,0,normal,
P001141,0,normal,
P001142,0,normal,
P001143,0,normal,
P001144,0,normal,
P001145,0,normal,
P001146,0,normal,
P001147,0,normal,
P001148,0,normal,
P001149,0,normal,
P001150,0,normal,
P001151,0,normal,
P001152,0,normal,
P001153,0,normal,
P001154,0,normal,
P001155,0,normal,
P001156,0,normal,
P001157,0,normal,
P001158,0,normal,
P001159,0,normal,
P001160,0,normal,
P001161,0,normal,
P001162,0,normal,
P001163,0,normal,
P001164,0,normal,
P001165,0,normal,
P001166,0,normal,
P001167,0,normal,
P001168,0,normal,
P001169,0,normal,
P001170,0,normal,
P001171,0,normal,
P001172,0,normal,
P001173,0,normal,
P001174,0,normal,
P001175,0,normal,
P001176,0,normal,
P001177,0,normal,
P001178,0,normal,
P001179,0,normal,
P001180,0,normal,
P001181,0,normal,
P001182,0,normal,
P001183,0,normal,
P001184,0,normal,
P001185,0,normal,
P001186,0,normal,
P001187,0,normal,
P001188,0,normal,
P001189,0,normal,
P001190,0,normal,
P001191,0,normal,
P001192,0,normal,
P001193,0,normal,
P001194,0,normal,
P001195,0,normal,
P001196,0,normal,
P001197,0,normal,
P001198,0,normal,
P001199,0,normal,
P001200,0,normal,
P001201,0,normal,
P001202,0,normal,
P001203,0,normal,
P001204,0,normal,
P001205,0,normal,
P001206,0,normal,
P001207,0,normal,
P001208,0,normal,
P001209,0,normal,
P001210,0,normal,
P001211,0,normal,
P001212,0,normal,
P001213,0,normal,
P001214,0,normal,
P001215,0,normal,
P001216,0,normal,
P001217,0,normal,
P001218,0,normal,
P001219,0,normal,
P001220,0,normal,
P001221,0,normal,
P001222,0,normal,
P001223,0,normal,
P001224,0,normal,
P001225,0,normal,
P001226,0,normal,
P001227,0,normal,
P001228,0,normal,
P001229,0,normal,
P001230,0,normal,
P001231,0,normal,
P001232,0,normal,
P001233,0,normal,
P001234,0,normal,
P001235,0,normal,
P001236,0,normal,
P001237,0,normal,
P001238,0,normal,
P001239,0,normal,
P001240,0,normal,
P001241,0,normal,
P001242,0,normal,
P001243,0,normal,
P001244,0,normal,
P001245,0,normal,
P001246,0,normal,
P001247,0,normal,
P001248,0,normal,
P001249,0,normal,
P001250,0,normal,
P001251,0,normal,
P001252,0,normal,
P001253,0,normal,
P001254,0,normal,
P001255,0,normal,
P001256,0,normal,
P001257,0,normal,
P001258,0,normal,
P001259,0,normal,
P001260,0,normal,
P001261,0,normal,
P001262,0,normal,
P001263,0,normal,
P001264,0,normal,
P001265,0,normal,
P001266,0,normal,
P001267,0,normal,
P001268,0,normal,
P001269,0,normal,
P001270,0,normal,
P001271,0,normal,
P001272,0,normal,
P001273,0,normal,
P001274,0,normal,
P001275,0,normal,
P001276,0,normal,
P001277,0,normal,
P001278,0,normal,
P001279,0,normal,
P001280,0,normal,
P001281,0,normal,
P001282,0,normal,
P001283,0,normal,
P001284,0,normal,
P001285,0,normal,
P001286,0,normal,
P001287,0,normal,
P001288,0,normal,
P001289,0,normal,
P001290,0,normal,
P001291,0,normal,
P001292,0,normal,
P001293,0,normal,
P001294,0,normal,
P001295,0,normal,
P001296,0,normal,
P001297,0,normal,
P001298,0,normal,
P001299,0,normal,
P001300,0,normal,
P001301,0,normal,
P001302,0,normal,
P001303,0,normal,
P001304,0,normal,
P001305,0,normal,
P001306,0,normal,
P001307,0,normal,
P001308,0,normal,
P001309,0,normal,
P001310,0,normal,
P001311,0,normal,
P001312,0,normal,
P001313,0,normal,
P001314,0,normal,
P001315,0,normal,
P001316,0,normal,
P001317,0,normal,
P001318,0,normal,
P001319,0,normal,
P001320,0,normal,
P001321,0,normal,
P001322,0,normal,
P001323,0,normal,
P001324,0,normal,
P001325,0,normal,
P001326,0,normal,
P001327,0,normal,
P001328,0,normal,
P001329,0,normal,
P001330,0,normal,
P001331,0,normal,
P001332,0,normal,
P001333,0,normal,
P001334,0,normal,
P001335,0,normal,
P001336,0,normal,
P001337,0,normal,
P001338,0,normal,
P001339,0,normal,
P001340,0,normal,
P001341,0,normal,
P001342,0,normal,
P001343,0,normal,
P001344,0,normal,
P001345,0,normal,
P001346,0,normal,
P001347,0,normal,
P001348,0,normal,
P001349,0,normal,
P001350,0,normal,
P001351,0,normal,
P001352,0,normal,
P001353,0,normal,
P001354,0,normal,
P001355,0,normal,
P001356,0,normal,
P001357,0,normal,
P001358,0,normal,
P001359,0,normal,
P001360,0,normal,
P001361,0,normal,
P001362,0,normal,
P001363,0,normal,
P001364,0,normal,
P001365,0,normal,
P001366,0,normal,
P001367,0,normal,
P001368,0,normal,
P001369,0,normal,
P001370,0,normal,
P001371,0,normal,
P001372,0,normal,
P001373,0,normal,
P001374,0,normal,
P001375,0,normal,
P001376,0,normal,
P001377,0,normal,
P001378,0,normal,
P001379,0,normal,
P001380,0,normal,
P001381,0,normal,
P001382,1,ringleader,RING01
P001383,1,scammer,RING01
P001384,1,scammer,RING01
P001385,1,scammer,RING01
P001386,1,scammer,RING01
P001387,1,scammer,RING01
P001388,1,mule,RING01
P001389,1,mule,RING01
P001390,1,mule,RING01
P001391,1,mule,RING01
P001392,1,mule,RING01
