account_id,owner_person_id,bank,opened_date,kyc_level
A000348,P000348,HDFC,2023-01-19,full
A000349,P000349,SBI,2020-05-05,full
A000350,P000350,Yes Bank,2019-11-04,min
A000351,P000351,PNB,2025-08-30,full
A000352,P000352,PNB,2025-09-09,full
A000353,P000353,ICICI,2026-07-04,full
A000354,P000354,Kotak,2020-09-27,full
A000355,P000355,Yes Bank,2026-06-22,min
A000356,P000356,Yes Bank,2019-10-27,full
A000357,P000357,Axis,2023-05-19,full
A000358,P000358,HDFC,2025-12-20,full
A000359,P000359,ICICI,2018-08-05,full
A000360,P000360,Bank of Baroda,2021-01-22,full
A000361,P000361,Yes Bank,2021-02-10,full
A000362,P000362,PNB,2025-01-31,full
A000363,P000363,PNB,2025-05-27,full
A000364,P000364,HDFC,2023-03-04,full
A000365,P000365,Yes Bank,2021-03-17,full
A000366,P000366,Yes Bank,2021-03-22,full
A000367,P000367,Yes Bank,2023-08-25,full
A000368,P000368,Kotak,2021-02-05,full
A000369,P000369,Bank of Baroda,2023-08-20,min
A000370,P000370,PNB,2022-11-07,full
A000371,P000371,SBI,2022-04-05,full
A000372,P000372,ICICI,2022-05-15,full
A000373,P000373,ICICI,2022-09-12,full
A000374,P000374,ICICI,2026-03-05,full
A000375,P000375,SBI,2018-06-10,min
A000376,P000376,Yes Bank,2019-11-18,min
A000377,P000377,ICICI,2021-08-28,full
A000378,P000378,Axis,2024-10-23,full
A000379,P000379,Yes Bank,2022-11-30,full
A000380,P000380,ICICI,2020-06-30,full
A000381,P000381,Bank of Baroda,2018-05-31,full
A000382,P000382,PNB,2020-06-12,full
A000383,P000383,HDFC,2021-04-14,min
A000384,P000384,PNB,2025-07-14,full
A000385,P000385,Kotak,2021-07-12,full
A000386,P000386,SBI,2020-07-06,full
A000387,P000387,Axis,2024-12-05,full
A000388,P000388,ICICI,2024-04-13,full
A000389,P000389,Yes Bank,2019-02-10,full
A000390,P000390,PNB,2018-12-24,min
A000391,P000391,ICICI,2025-07-14,full
A000392,P000392,Yes Bank,2017-10-25,full
A000393,P000393,HDFC,2020-07-08,full
A000394,P000394,Yes Bank,2023-04-09,full
A000395,P000395,Yes Bank,2023-01-23,min
A000396,P000396,Axis,2024-07-02,full
A000397,P000397,PNB,2020-11-13,full
A000398,P000398,HDFC,2019-08-12,full
A000399,P000399,ICICI,2022-12-31,full
A000400,P000400,Axis,2023-10-08,full
A000401,P000401,Kotak,2026-05-29,full
A000402,P000402,SBI,2024-03-27,full
A000403,P000403,Axis,2019-07-23,full
A000404,P000404,PNB,2022-05-01,full
A000405,P000405,PNB,2025-02-22,full
A000406,P000406,Yes Bank,2020-01-06,min
A000407,P000407,Bank of Baroda,2020-04-25,full
A000408,P000408,PNB,2019-06-05,full
A000409,P000409,HDFC,2022-10-25,min
A000410,P000410,PNB,2020-07-11,full
A000411,P000411,Axis,2021-11-01,full
A000412,P000412,Kotak,2025-07-10,min
A000413,P000413,Axis,2025-08-10,min
A000414,P000414,SBI,2025-03-20,full
A000415,P000415,Axis,2018-05-31,full
A000416,P000416,HDFC,2020-11-12,full
A000417,P000417,PNB,2026-07-07,full
A000418,P000418,Bank of Baroda,2018-01-24,full
A000419,P000419,ICICI,2026-04-10,full
A000420,P000420,Yes Bank,2023-04-21,full
A000421,P000421,Yes Bank,2019-09-17,full
A000422,P000422,Kotak,2021-04-27,full
A000423,P000423,Axis,2017-11-06,full
A000424,P000424,Axis,2024-05-28,full
A000425,P000425,HDFC,2018-05-31,full
A000426,P000426,Kotak,2024-03-26,full
A000427,P000427,Kotak,2019-03-23,full
A000428,P000428,ICICI,2019-03-01,min
A000429,P000429,HDFC,2024-06-27,full
A000430,P000430,Bank of Baroda,2019-09-07,full
A000431,P000431,Yes Bank,2023-05-30,min
A000432,P000432,Bank of Baroda,2020-03-06,full
A000433,P000433,SBI,2022-12-05,full
A000434,P000434,HDFC,2024-10-07,full
A000435,P000435,ICICI,2019-08-02,full
A000436,P000436,ICICI,2020-03-28,full
A000437,P000437,Bank of Baroda,2024-06-18,min
A000438,P000438,HDFC,2021-06-07,full
A000439,P000439,PNB,2021-09-24,full
A000440,P000440,PNB,2022-10-06,full
A000441,P000441,Yes Bank,2019-06-06,full
A000442,P000442,Bank of Baroda,2022-02-16,full
A000443,P000443,Bank of Baroda,2019-09-22,full
A000444,P000444,ICICI,2018-09-16,full
A000445,P000445,ICICI,2025-06-13,full
A000446,P000446,Yes Bank,2024-10-11,full
A000447,P000447,ICICI,2026-05-21,full
A000448,P000448,HDFC,2021-10-02,full
A000449,P000449,SBI,2020-07-26,full
A000450,P000450,Bank of Baroda,2020-09-15,min
A000451,P000451,PNB,2023-04-22,full
A000452,P000452,PNB,2023-10-10,full
A000453,P000453,SBI,2018-04-13,full
A000454,P000454,Axis,2025-07-05,full
A000455,P000455,HDFC,2026-05-19,full
A000456,P000456,Bank of Baroda,2023-04-11,full
A000457,P000457,Axis,2023-03-16,full
A000458,P000458,HDFC,2019-08-28,full
A000459,P000459,PNB,2022-03-29,full
A000460,P000460,Axis,2019-02-08,full
A000461,P000461,Bank of Baroda,2026-02-11,full
A000462,P000462,Kotak,2025-01-30,full
A000463,P000463,HDFC,2018-07-14,full
A000464,P000464,ICICI,2024-05-07,full
A000465,P000465,PNB,2020-02-20,full
A000466,P000466,Axis,2020-05-31,full
A000467,P000467,ICICI,2018-04-25,full
A000468,P000468,Kotak,2026-06-01,full
A000469,P000469,Kotak,2021-04-08,full
A000470,P000470,Kotak,2023-02-04,full
A000471,P000471,Kotak,2026-01-26,min
A000472,P000472,Yes Bank,2024-09-26,min
A000473,P000473,Kotak,2022-06-03,full
A000474,P000474,PNB,2021-10-29,full
A000475,P000475,ICICI,2026-01-27,full
A000476,P000476,ICICI,2025-01-10,full
A000477,P000477,PNB,2021-09-14,full
A000478,P000478,Bank of Baroda,2018-01-28,full
A000479,P000479,Axis,2021-09-04,full
A000480,P000480,Kotak,2025-05-27,min
A000481,P000481,PNB,2023-10-12,min
A000482,P000482,HDFC,2018-05-25,min
A000483,P000483,Yes Bank,2023-05-29,full
A000484,P000484,SBI,2020-03-11,full
A000485,P000485,Kotak,2024-08-15,full
A000486,P000486,Yes Bank,2025-12-03,full
A000487,P000487,Bank of Baroda,2021-02-09,full
A000488,P000488,Bank of Baroda,2019-01-06,full
A000489,P000489,Yes Bank,2026-02-12,full
A000490,P000490,ICICI,2018-03-02,full
A000491,P000491,Kotak,2024-06-16,full
A000492,P000492,ICICI,2023-11-13,full
A000493,P000493,HDFC,2018-10-15,full
A000494,P000494,SBI,2025-06-12,full
A000495,P000495,SBI,2025-03-21,full
A000496,P000496,Yes Bank,2022-03-08,full
A000497,P000497,Bank of Baroda,2026-02-19,full
A000498,P000498,ICICI,2024-01-15,full
A000499,P000499,SBI,2018-11-24,full
A000500,P000500,HDFC,2018-10-14,full
A000501,P000501,Axis,2025-10-24,full
A000502,P000502,Bank of Baroda,2018-09-25,full
A000503,P000503,HDFC,2023-03-20,full
A000504,P000504,Bank of Baroda,2020-02-23,full
A000505,P000505,Axis,2026-06-18,full
A000506,P000506,HDFC,2024-05-12,min
A000507,P000507,Bank of Baroda,2026-04-02,full
A000508,P000508,HDFC,2026-06-17,full
A000509,P000509,Axis,2026-06-20,full
A000510,P000510,Axis,2023-03-18,full
A000511,P000511,Kotak,2025-09-09,full
A000512,P000512,Bank of Baroda,2022-12-31,full
A000513,P000513,PNB,2020-01-27,full
A000514,P000514,Axis,2021-01-19,full
A000515,P000515,Yes Bank,2021-04-23,full
A000516,P000516,ICICI,2023-10-21,full
A000517,P000517,Bank of Baroda,2018-10-23,min
A000518,P000518,PNB,2018-07-25,full
A000519,P000519,Axis,2018-02-02,full
A000520,P000520,HDFC,2022-09-07,full
A000521,P000521,Axis,2023-09-26,full
A000522,P000522,PNB,2026-01-22,min
A000523,P000523,Kotak,2021-01-04,full
A000524,P000524,Yes Bank,2019-06-28,min
A000525,P000525,Bank of Baroda,2019-06-11,full
A000526,P000526,Axis,2019-02-25,full
A000527,P000527,PNB,2025-08-27,full
A000528,P000528,PNB,2026-07-11,full
A000529,P000529,PNB,2024-10-03,full
A000530,P000530,PNB,2020-04-13,full
A000531,P000531,Kotak,2023-02-24,full
A000532,P000532,Kotak,2023-06-24,min
A000533,P000533,HDFC,2019-01-20,full
A000534,P000534,Axis,2020-04-13,full
A000535,P000535,Kotak,2021-06-15,full
A000536,P000536,HDFC,2023-01-17,full
A000537,P000537,HDFC,2023-09-26,full
A000538,P000538,HDFC,2018-11-07,full
A000539,P000539,SBI,2020-09-06,full
A000540,P000540,HDFC,2022-07-12,full
A000541,P000541,SBI,2024-06-19,min
A000542,P000542,Axis,2020-06-18,full
A000543,P000543,HDFC,2020-11-21,full
A000544,P000544,Kotak,2018-01-18,full
A000545,P000545,PNB,2020-03-04,full
A000546,P000546,Axis,2022-10-15,min
A000547,P000547,ICICI,2025-03-27,full
A000548,P000548,Yes Bank,2022-09-07,full
A000549,P000549,Yes Bank,2023-11-04,full
A000550,P000550,Axis,2025-08-20,full
A000551,P000551,Yes Bank,2022-10-11,full
A000552,P000552,SBI,2025-09-15,min
A000553,P000553,PNB,2020-04-26,full
A000554,P000554,ICICI,2025-08-22,min
A000555,P000555,ICICI,2021-06-06,full
A000556,P000556,Yes Bank,2024-05-26,full
A000557,P000557,ICICI,2023-06-03,full
A000558,P000558,ICICI,2021-04-16,full
A000559,P000559,SBI,2018-08-13,full
A000560,P000560,HDFC,2019-10-21,full
A000561,P000561,ICICI,2020-11-15,min
A000562,P000562,HDFC,2018-01-05,min
A000563,P000563,SBI,2024-09-20,full
A000564,P000564,HDFC,2025-07-09,full
A000565,P000565,Yes Bank,2021-08-07,full
A000566,P000566,Kotak,2024-09-19,full
A000567,P000567,Bank of Baroda,2022-10-23,full
A000568,P000568,Axis,2024-03-16,full
A000569,P000569,ICICI,2019-11-24,full
A000570,P000570,PNB,2026-03-01,full
A000571,P000571,Kotak,2020-11-09,min
A000572,P000572,ICICI,2022-06-26,full
A000573,P000573,Kotak,2020-01-25,full
A000574,P000574,Axis,2023-01-04,full
A000575,P000575,Kotak,2019-03-25,full
A000576,P000576,Yes Bank,2025-11-17,full
A000577,P000577,Axis,2019-09-27,full
A000578,P000578,Bank of Baroda,2017-11-26,min
A000579,P000579,HDFC,2019-01-28,full
A000580,P000580,PNB,2023-09-15,full
A000581,P000581,PNB,2018-08-21,min
A000582,P000582,ICICI,2024-01-13,full
A000583,P000583,Axis,2021-12-21,full
A000584,P000584,HDFC,2025-02-02,full
A000585,P000585,Yes Bank,2023-11-30,full
A000586,P000586,SBI,2022-12-26,full
A000587,P000587,ICICI,2025-02-09,full
A000588,P000588,Kotak,2025-05-17,full
A000589,P000589,Kotak,2024-06-23,full
A000590,P000590,ICICI,2026-05-11,min
A000591,P000591,ICICI,2026-06-21,full
A000592,P000592,Kotak,2025-01-08,full
A000593,P000593,Bank of Baroda,2024-01-03,min
A000594,P000594,Axis,2019-08-17,full
A000595,P000595,SBI,2021-08-14,full
A000596,P000596,Kotak,2024-12-05,full
A000597,P000597,ICICI,2020-06-16,full
A000598,P000598,Yes Bank,2025-12-08,full
A000599,P000599,ICICI,2024-05-04,full
A000600,P000600,Axis,2026-07-01,full
A000601,P000601,SBI,2024-11-19,full
A000602,P000602,SBI,2024-09-07,full
A000603,P000603,PNB,2018-02-06,full
A000604,P000604,Bank of Baroda,2020-01-22,full
A000605,P000605,Kotak,2024-10-17,full
A000606,P000606,ICICI,2018-02-01,full
A000607,P000607,Yes Bank,2026-01-27,min
A000608,P000608,Yes Bank,2019-03-15,full
A000609,P000609,Kotak,2018-08-08,full
A000610,P000610,SBI,2018-04-04,full
A000611,P000611,Kotak,2020-12-28,min
A000612,P000612,HDFC,2018-04-03,full
A000613,P000613,Axis,2020-12-04,full
A000614,P000614,HDFC,2019-10-03,full
A000615,P000615,Yes Bank,2025-09-29,full
A000616,P000616,HDFC,2026-03-09,full
A000617,P000617,ICICI,2022-10-15,min
A000618,P000618,Bank of Baroda,2025-03-30,min
A000619,P000619,Axis,2023-10-31,full
A000620,P000620,Axis,2021-12-18,full
A000621,P000621,Bank of Baroda,2024-12-19,full
A000622,P000622,PNB,2025-09-21,full
A000623,P000623,ICICI,2020-01-04,full
A000624,P000624,PNB,2021-01-27,full
